source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[phenotype]	characteristics[pooled sample]	characteristics[spiked compound]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[phenotype]	factor value[analytical method]
PXD070765-19	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	19	mild	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230731_Z1_ZW_040_30-0090_D6_uZSWATH_19_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	12 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	1	1	20230731_Z1_ZW_040_30-0090_D6_uZSWATH_19_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	mild	uZSWATH
PXD070765-19	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	19	mild	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230914_AJW_HSdia_VNeo1_30-0090_D6_nThermo_D6-Sample_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	15 ppm	15 ppm	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	1	1	20230914_AJW_HSdia_VNeo1_30-0090_D6_nThermo_D6-Sample_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	mild	nThermo
PXD070765-19	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	19	mild	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230802_Z1_ZW_040_30-0090_D6_uPRM_19_rep01	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	not available	200m/z-1500m/z	1	1	20230802_Z1_ZW_040_30-0090_D6_uPRM_19_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	mild	uPRM
PXD070765-23	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	23	mild	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230726_Z1_ZW_020_30-0090_C9_hZSWATH_23_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	12 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	1	1	20230726_Z1_ZW_020_30-0090_C9_hZSWATH_23_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	mild	hZSWATH
PXD070765-23	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	23	mild	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230727_Z1_ZW_021_30-0090_C9_hZsSWATH_23_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	12 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	100m/z-1000m/z	not available	1	1	20230727_Z1_ZW_021_30-0090_C9_hZsSWATH_23_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	mild	hZsSWATH
PXD070765-23	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	23	mild	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230731_Z1_ZW_016_30-0090_F3_uZSWATH_23_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	12 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	1	1	20230731_Z1_ZW_016_30-0090_F3_uZSWATH_23_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	mild	uZSWATH
PXD070765-23	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	23	mild	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230914_AJW_HSdia_VNeo1_30-0090_F3_nThermo_F3-Sample_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	15 ppm	15 ppm	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	1	1	20230914_AJW_HSdia_VNeo1_30-0090_F3_nThermo_F3-Sample_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	mild	nThermo
PXD070765-23	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	23	mild	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230802_Z1_ZW_016_30-0090_F3_uPRM_23_rep01	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	not available	200m/z-1500m/z	1	1	20230802_Z1_ZW_016_30-0090_F3_uPRM_23_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	mild	uPRM
PXD070765-24	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	24	moderate	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230726_Z1_ZW_042_30-0090_A1_hZSWATH_24_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	12 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	1	1	20230726_Z1_ZW_042_30-0090_A1_hZSWATH_24_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	moderate	hZSWATH
PXD070765-24	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	24	moderate	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230727_Z1_ZW_044_30-0090_A1_hZsSWATH_24_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	12 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	100m/z-1000m/z	not available	1	1	20230727_Z1_ZW_044_30-0090_A1_hZsSWATH_24_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	moderate	hZsSWATH
PXD070765-24	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	24	moderate	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230731_Z1_ZW_039_30-0090_A1_uZSWATH_24_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	12 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	1	1	20230731_Z1_ZW_039_30-0090_A1_uZSWATH_24_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	moderate	uZSWATH
PXD070765-24	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	24	moderate	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230914_AJW_HSdia_VNeo1_30-0090_A1_nThermo_A1-Sample_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	15 ppm	15 ppm	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	1	1	20230914_AJW_HSdia_VNeo1_30-0090_A1_nThermo_A1-Sample_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	moderate	nThermo
PXD070765-24	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	24	moderate	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230802_Z1_ZW_039_30-0090_A1_uPRM_24_rep01	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	not available	200m/z-1500m/z	1	1	20230802_Z1_ZW_039_30-0090_A1_uPRM_24_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	moderate	uPRM
PXD070765-25	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	25	critical	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230726_Z1_ZW_051_30-0090_A8_hZSWATH_25_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	12 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	1	1	20230726_Z1_ZW_051_30-0090_A8_hZSWATH_25_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	critical	hZSWATH
PXD070765-25	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	25	critical	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230727_Z1_ZW_054_30-0090_A8_hZsSWATH_25_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	12 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	100m/z-1000m/z	not available	1	1	20230727_Z1_ZW_054_30-0090_A8_hZsSWATH_25_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	critical	hZsSWATH
PXD070765-25	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	25	critical	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230731_Z1_ZW_049_30-0090_A8_uZSWATH_25_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	12 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	1	1	20230731_Z1_ZW_049_30-0090_A8_uZSWATH_25_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	critical	uZSWATH
PXD070765-25	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	25	critical	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230914_AJW_HSdia_VNeo1_30-0090_A8_nThermo_A8-Sample_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	15 ppm	15 ppm	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	1	1	20230914_AJW_HSdia_VNeo1_30-0090_A8_nThermo_A8-Sample_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	critical	nThermo
PXD070765-25	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	25	critical	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230802_Z1_ZW_049_30-0090_A8_uPRM_25_rep01	proteomic profiling by mass spectrometry	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	not available	200m/z-1500m/z	1	1	20230802_Z1_ZW_049_30-0090_A8_uPRM_25_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	critical	uPRM
PXD070765-32	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	32	critical	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230726_Z1_ZW_044_30-0090_E7_hZSWATH_32_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	12 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	1	1	20230726_Z1_ZW_044_30-0090_E7_hZSWATH_32_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	critical	hZSWATH
PXD070765-32	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	32	critical	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230727_Z1_ZW_046_30-0090_E7_hZsSWATH_32_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	12 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	100m/z-1000m/z	not available	1	1	20230727_Z1_ZW_046_30-0090_E7_hZsSWATH_32_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	critical	hZsSWATH
PXD070765-32	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	32	critical	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230731_Z1_ZW_041_30-0090_E7_uZSWATH_32_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	not available	12 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	1	1	20230731_Z1_ZW_041_30-0090_E7_uZSWATH_32_rep01.wiff2.Zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	critical	uZSWATH
PXD070765-32	Homo sapiens	blood plasma	COVID-19	not applicable	organism part	not available	not available	32	critical	not pooled	CT=mixture;CN=OSPP;QY=40.4 ng	no depletion	1	20230914_AJW_HSdia_VNeo1_30-0090_E7_nThermo_E7-Sample_rep01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	15 ppm	15 ppm	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	1	1	20230914_AJW_HSdia_VNeo1_30-0090_E7_nThermo_E7-Sample_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	COVID-19	critical	nThermo
