source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Leyuan_20210823_300drugs_TMT_V52_P4A	Leyuan_20210823_300drugs_TMT_V52_P4A	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P4A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P4A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P4C	Leyuan_20210823_300drugs_TMT_V52_P4C	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P4C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P4C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P4D	Leyuan_20210823_300drugs_TMT_V52_P4D	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P4D	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P4D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P4F	Leyuan_20210823_300drugs_TMT_V52_P4F	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P4F	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P4F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P4G	Leyuan_20210823_300drugs_TMT_V52_P4G	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P4G	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P4G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P1D	Leyuan_20210904_300drugs_TMT_V47_P1D	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P1D	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P1D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P1E	Leyuan_20210904_300drugs_TMT_V47_P1E	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P1E	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P1E.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P1F	Leyuan_20210904_300drugs_TMT_V47_P1F	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P1F	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P1F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P2G	Leyuan_20210904_300drugs_TMT_V47_P2G	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P2G	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P2G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P3C	Leyuan_20210904_300drugs_TMT_V47_P3C	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P3C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P3C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P3D	Leyuan_20210904_300drugs_TMT_V47_P3D	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P3D	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P3D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P3E	Leyuan_20210904_300drugs_TMT_V47_P3E	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P3E	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P3E.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P3F	Leyuan_20210904_300drugs_TMT_V47_P3F	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P3F	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P3F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P3H	Leyuan_20210904_300drugs_TMT_V47_P3H	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P3H	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P3H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P4A	Leyuan_20210904_300drugs_TMT_V47_P4A	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P4A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P4A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P4B	Leyuan_20210904_300drugs_TMT_V47_P4B	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P4B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P4B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P4D	Leyuan_20210904_300drugs_TMT_V47_P4D	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P4D	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P4D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P4E	Leyuan_20210904_300drugs_TMT_V47_P4E	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P4E	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P4E.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P4F	Leyuan_20210904_300drugs_TMT_V47_P4F	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P4F	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P4F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210904_300drugs_TMT_V47_P4H	Leyuan_20210904_300drugs_TMT_V47_P4H	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210904_300drugs_TMT_V47_P4H	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210904_300drugs_TMT_V47_P4H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210910_300drugs_TMT_V45_P1B	Leyuan_20210910_300drugs_TMT_V45_P1B	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210910_300drugs_TMT_V45_P1B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210910_300drugs_TMT_V45_P1B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210910_300drugs_TMT_V45_P1C	Leyuan_20210910_300drugs_TMT_V45_P1C	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210910_300drugs_TMT_V45_P1C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210910_300drugs_TMT_V45_P1C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210910_300drugs_TMT_V45_P1D	Leyuan_20210910_300drugs_TMT_V45_P1D	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210910_300drugs_TMT_V45_P1D	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210910_300drugs_TMT_V45_P1D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
