source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
YJC-131218-LiverPalmWT2-SH-03	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	3	YJC-131218-LiverPalmWT2-SH-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC-131218-LiverPalmWT2-SH-03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC-131218-LiverPalmWT2-SH-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_131218_liverK3PalmThiolR_03	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	3	YJC_131218_liverK3PalmThiolR_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_131218_liverK3PalmThiolR_03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_131218_liverK3PalmThiolR_03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_131218_liverWT2PalmThiolR_03	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	3	YJC_131218_liverWT2PalmThiolR_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_131218_liverWT2PalmThiolR_03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_131218_liverWT2PalmThiolR_03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_131218_liverWT2PalmThiolR_02	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	2	YJC_131218_liverWT2PalmThiolR_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_131218_liverWT2PalmThiolR_02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_131218_liverWT2PalmThiolR_02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_140121_liverWT3PalmSH_02	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	2	YJC_140121_liverWT3PalmSH_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_140121_liverWT3PalmSH_02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_140121_liverWT3PalmSH_02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_140121_liverWT1HAPalmSH_03	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	3	YJC_140121_liverWT1HAPalmSH_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_140121_liverWT1HAPalmSH_03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_140121_liverWT1HAPalmSH_03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC-131218-LiverPalmK2-SH-02	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	2	YJC-131218-LiverPalmK2-SH-02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC-131218-LiverPalmK2-SH-02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC-131218-LiverPalmK2-SH-02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_130928LiverPalmK2HA_Cys01	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	1	YJC_130928LiverPalmK2HA_Cys01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_130928LiverPalmK2HA_Cys01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_130928LiverPalmK2HA_Cys01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_140121_liverWT2HAPalmSH_01	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	1	YJC_140121_liverWT2HAPalmSH_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_140121_liverWT2HAPalmSH_01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_140121_liverWT2HAPalmSH_01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_131218_liverWT3PalmThiolR_03	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	3	YJC_131218_liverWT3PalmThiolR_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_131218_liverWT3PalmThiolR_03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_131218_liverWT3PalmThiolR_03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_130928LiverPalmWT3_Cys01	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	1	YJC_130928LiverPalmWT3_Cys01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_130928LiverPalmWT3_Cys01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_130928LiverPalmWT3_Cys01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_140121_liverWT3HAPalmSH_03	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	3	YJC_140121_liverWT3HAPalmSH_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_140121_liverWT3HAPalmSH_03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_140121_liverWT3HAPalmSH_03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_130928LiverPalmWT1_Cys01	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	1	YJC_130928LiverPalmWT1_Cys01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_130928LiverPalmWT1_Cys01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_130928LiverPalmWT1_Cys01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC-131218-LiverPalmWT1-SH-03	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	3	YJC-131218-LiverPalmWT1-SH-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC-131218-LiverPalmWT1-SH-03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC-131218-LiverPalmWT1-SH-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_130928LiverPalmWT1HA_Cys01	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	1	YJC_130928LiverPalmWT1HA_Cys01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_130928LiverPalmWT1HA_Cys01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_130928LiverPalmWT1HA_Cys01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_131218_liverWT2HAPalmThiolR_02	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	2	YJC_131218_liverWT2HAPalmThiolR_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_131218_liverWT2HAPalmThiolR_02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_131218_liverWT2HAPalmThiolR_02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_131218_liverK2PalmThiolR_02	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	2	YJC_131218_liverK2PalmThiolR_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_131218_liverK2PalmThiolR_02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_131218_liverK2PalmThiolR_02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_131218_liverWT2HAPalmThiolR_03	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	3	YJC_131218_liverWT2HAPalmThiolR_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_131218_liverWT2HAPalmThiolR_03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_131218_liverWT2HAPalmThiolR_03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC-131218-LiverPalmK1HA-SH-03	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	3	YJC-131218-LiverPalmK1HA-SH-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC-131218-LiverPalmK1HA-SH-03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC-131218-LiverPalmK1HA-SH-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_130928LiverPalmK3_Cys01	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	1	YJC_130928LiverPalmK3_Cys01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_130928LiverPalmK3_Cys01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_130928LiverPalmK3_Cys01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC-131218-LiverPalmWT1HA-SH-01	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	1	YJC-131218-LiverPalmWT1HA-SH-01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC-131218-LiverPalmWT1HA-SH-01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC-131218-LiverPalmWT1HA-SH-01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC-131218-LiverPalmK3-SH-03	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	3	YJC-131218-LiverPalmK3-SH-03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC-131218-LiverPalmK3-SH-03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC-131218-LiverPalmK3-SH-03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
YJC_140121_liverK1HAPalmSH_01	mus musculus	liver	HeLa cell	alopecia	6 weeks	HeLa	CVCL_0030	HeLa	1	YJC_140121_liverK1HAPalmSH_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q-tof premier;AC=MS:1000632	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.1 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	YJC_140121_liverK1HAPalmSH_01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD003039/YJC_140121_liverK1HAPalmSH_01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	liver
