source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
231101_FL_Secretome_Fib_4_120min_Exploris_FAIMS_DIA_CV-45-60_R2	Mus musculus	Primary cell	not available	not available	1	231101_FL_Secretome_Fib_4_120min_Exploris_FAIMS_DIA_CV-45-60_R2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231101_FL_Secretome_Fib_4_120min_Exploris_FAIMS_DIA_CV-45-60_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231024_FL_Secretome_minus_D_2_120min_Exploris_FAIMS_DIA_CV-45-60_R1	Mus musculus	Primary cell	not available	not available	1	231024_FL_Secretome_minus_D_2_120min_Exploris_FAIMS_DIA_CV-45-60_R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231024_FL_Secretome_minus_D_2_120min_Exploris_FAIMS_DIA_CV-45-60_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231101_FL_Secretome_FF_3_120min_Exploris_FAIMS_DIA_CV-45-60_R2	Mus musculus	Primary cell	not available	not available	1	231101_FL_Secretome_FF_3_120min_Exploris_FAIMS_DIA_CV-45-60_R2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231101_FL_Secretome_FF_3_120min_Exploris_FAIMS_DIA_CV-45-60_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231115_BM_Secretome_M_plus_D_120min_Exploris_FAIMS_DIA_CV-45-60_R1	Mus musculus	Primary cell	not available	not available	1	231115_BM_Secretome_M_plus_D_120min_Exploris_FAIMS_DIA_CV-45-60_R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231115_BM_Secretome_M_plus_D_120min_Exploris_FAIMS_DIA_CV-45-60_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231024_FL_Secretome_minus_D_2_120min_Exploris_FAIMS_DIA_CV-45-60_R2	Mus musculus	Primary cell	not available	not available	1	231024_FL_Secretome_minus_D_2_120min_Exploris_FAIMS_DIA_CV-45-60_R2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231024_FL_Secretome_minus_D_2_120min_Exploris_FAIMS_DIA_CV-45-60_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231030_FL_Secretome_Fib_1_120min_Exploris_FAIMS_DIA_CV-45-60_R1	Mus musculus	Primary cell	not available	not available	1	231030_FL_Secretome_Fib_1_120min_Exploris_FAIMS_DIA_CV-45-60_R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231030_FL_Secretome_Fib_1_120min_Exploris_FAIMS_DIA_CV-45-60_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231119_BM_Secretome_Fn_6_120min_Exploris_FAIMS_DIA_CV-45-60_R1	Mus musculus	Primary cell	not available	not available	1	231119_BM_Secretome_Fn_6_120min_Exploris_FAIMS_DIA_CV-45-60_R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231119_BM_Secretome_Fn_6_120min_Exploris_FAIMS_DIA_CV-45-60_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231103_FL_Secretome_FF_6_120min_Exploris_FAIMS_DIA_CV-45-60_R1	Mus musculus	Primary cell	not available	not available	1	231103_FL_Secretome_FF_6_120min_Exploris_FAIMS_DIA_CV-45-60_R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231103_FL_Secretome_FF_6_120min_Exploris_FAIMS_DIA_CV-45-60_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231117_BM_Secretome_Fib_4_120min_Exploris_FAIMS_DIA_CV-45-60_R2	Mus musculus	Primary cell	not available	not available	1	231117_BM_Secretome_Fib_4_120min_Exploris_FAIMS_DIA_CV-45-60_R2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231117_BM_Secretome_Fib_4_120min_Exploris_FAIMS_DIA_CV-45-60_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231101_FL_Secretome_Fib_3_120min_Exploris_FAIMS_DIA_CV-45-60_R1	Mus musculus	Primary cell	not available	not available	1	231101_FL_Secretome_Fib_3_120min_Exploris_FAIMS_DIA_CV-45-60_R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231101_FL_Secretome_Fib_3_120min_Exploris_FAIMS_DIA_CV-45-60_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231117_BM_Secretome_FF_4_120min_Exploris_FAIMS_DIA_CV-45-60_R2	Mus musculus	Primary cell	not available	not available	1	231117_BM_Secretome_FF_4_120min_Exploris_FAIMS_DIA_CV-45-60_R2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231117_BM_Secretome_FF_4_120min_Exploris_FAIMS_DIA_CV-45-60_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231117_BM_Secretome_Fn_4_120min_Exploris_FAIMS_DIA_CV-45-60_R2	Mus musculus	Primary cell	not available	not available	1	231117_BM_Secretome_Fn_4_120min_Exploris_FAIMS_DIA_CV-45-60_R2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231117_BM_Secretome_Fn_4_120min_Exploris_FAIMS_DIA_CV-45-60_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231031_FL_Secretome_Fn_2_120min_Exploris_FAIMS_DIA_CV-45-60_R1	Mus musculus	Primary cell	not available	not available	1	231031_FL_Secretome_Fn_2_120min_Exploris_FAIMS_DIA_CV-45-60_R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231031_FL_Secretome_Fn_2_120min_Exploris_FAIMS_DIA_CV-45-60_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231026_FL_Secretome_plus_D_6_120min_Exploris_FAIMS_DIA_CV-45-60_R1	Mus musculus	Primary cell	not available	not available	1	231026_FL_Secretome_plus_D_6_120min_Exploris_FAIMS_DIA_CV-45-60_R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231026_FL_Secretome_plus_D_6_120min_Exploris_FAIMS_DIA_CV-45-60_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
231101_FL_Secretome_Fn_3_120min_Exploris_FAIMS_DIA_CV-45-60_R2	Mus musculus	Primary cell	not available	not available	1	231101_FL_Secretome_Fn_3_120min_Exploris_FAIMS_DIA_CV-45-60_R2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	231101_FL_Secretome_Fn_3_120min_Exploris_FAIMS_DIA_CV-45-60_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Primary cell
