source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[sex]	characteristics[age]	characteristics[ancestry category]	characteristics[disease]	characteristics[cell line]	characteristics[conditions]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[file uri]	comment[fraction identifier]	comment[% mecn]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	factor value[condition]
WT_2	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	2	cell	run 7	proteomic profiling by mass spectrometry	TMT129N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0619_7	7	25	1	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0619_7.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_3	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	3	cell	run 7	proteomic profiling by mass spectrometry	TMT129C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0619_7	7	25	1	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0619_7.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_4	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	4	cell	run 7	proteomic profiling by mass spectrometry	TMT130N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0619_7	7	25	1	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0619_7.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
KO_1	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	GALC-KO	1	cell	run 8	proteomic profiling by mass spectrometry	TMT126	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0620_8	8	50	1	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0620_8.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	KO
KO_2	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	GALC-KO	2	cell	run 8	proteomic profiling by mass spectrometry	TMT127N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0620_8	8	50	1	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0620_8.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	KO
KO_3	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	GALC-KO	3	cell	run 8	proteomic profiling by mass spectrometry	TMT127C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0620_8	8	50	1	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0620_8.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	KO
KO_4	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	GALC-KO	4	cell	run 8	proteomic profiling by mass spectrometry	TMT128N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0620_8	8	50	1	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0620_8.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	KO
WT_1	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	1	cell	run 8	proteomic profiling by mass spectrometry	TMT128C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0620_8	8	50	1	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0620_8.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_2	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	2	cell	run 8	proteomic profiling by mass spectrometry	TMT129N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0620_8	8	50	1	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0620_8.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_3	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	3	cell	run 8	proteomic profiling by mass spectrometry	TMT129C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0620_8	8	50	1	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0620_8.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_4	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	4	cell	run 8	proteomic profiling by mass spectrometry	TMT130N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0620_8	8	50	1	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0620_8.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
KO_1	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	GALC-KO	1	cell	run 9	proteomic profiling by mass spectrometry	TMT131	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0623_1	1	10	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0623_1.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	KO
KO_2	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	GALC-KO	2	cell	run 9	proteomic profiling by mass spectrometry	TMT127N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0623_1	1	10	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0623_1.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	KO
KO_3	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	GALC-KO	3	cell	run 9	proteomic profiling by mass spectrometry	TMT127C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0623_1	1	10	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0623_1.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	KO
KO_4	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	GALC-KO	4	cell	run 9	proteomic profiling by mass spectrometry	TMT128N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0623_1	1	10	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0623_1.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	KO
WT_1	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	1	cell	run 9	proteomic profiling by mass spectrometry	TMT128C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0623_1	1	10	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0623_1.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_2	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	2	cell	run 9	proteomic profiling by mass spectrometry	TMT129N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0623_1	1	10	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0623_1.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_3	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	3	cell	run 9	proteomic profiling by mass spectrometry	TMT129C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0623_1	1	10	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0623_1.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_4	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	4	cell	run 9	proteomic profiling by mass spectrometry	TMT130N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0623_1	1	10	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0623_1.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
KO_1	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	GALC-KO	1	cell	run 10	proteomic profiling by mass spectrometry	TMT131	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0624_2	2	12.5	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0624_2.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	KO
KO_2	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	GALC-KO	2	cell	run 10	proteomic profiling by mass spectrometry	TMT127N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0624_2	2	12.5	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0624_2.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	KO
KO_3	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	GALC-KO	3	cell	run 10	proteomic profiling by mass spectrometry	TMT127C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0624_2	2	12.5	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0624_2.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	KO
KO_4	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	GALC-KO	4	cell	run 10	proteomic profiling by mass spectrometry	TMT128N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0624_2	2	12.5	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0624_2.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	KO
WT_1	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	1	cell	run 10	proteomic profiling by mass spectrometry	TMT128C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0624_2	2	12.5	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0624_2.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_2	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	2	cell	run 10	proteomic profiling by mass spectrometry	TMT129N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0624_2	2	12.5	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0624_2.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_3	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	3	cell	run 10	proteomic profiling by mass spectrometry	TMT129C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0624_2	2	12.5	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0624_2.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_4	Homo sapiens	central nervous system	Oligodendrocytes	not applicable	not applicable	not applicable	Krabbe Disease	MO3.13	WT	4	cell	run 10	proteomic profiling by mass spectrometry	TMT130N	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD057472/Wai_Fusion_0624_2	2	12.5	2	NT=Orbitrap Fusion; AC=MS:1002416	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed; TA=K	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Met-loss;PP=Protein N-term;AC=UNIMOD:765;MT=Variable	NT=Met-loss+Acetyl;PP=Protein N-term;AC=UNIMOD:766;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M	NT=Trypsin	0.6 Da	10 ppm	Wai_Fusion_0624_2.raw	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
