source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[biorepository]	characteristics[passage number]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[fractionation method]	comment[ms min mz]	comment[ms max mz]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[protein fraction]	factor value[gel cartridge]	factor value[sample type]
RPE1_gel8_even_GF22	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr01	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT131C;AC=PRIDE:0000581	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	1	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	22	8%	study sample
RPE1_gel8_even_GF10	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr01	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT132N;AC=PRIDE:0000582	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	1	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	10	8%	study sample
RPE1_gel8_even_GF18	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr01	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT132C;AC=PRIDE:0000583	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	1	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	18	8%	study sample
RPE1_gel8_even_Std1	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	reference	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr01	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT133N;AC=PRIDE:0000632	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	1	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	unfractionated	8%	reference
RPE1_gel8_even_GF04	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr01	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT133C;AC=PRIDE:0000633	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	1	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	4	8%	study sample
RPE1_gel8_even_Std2	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	reference	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr01	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT134N;AC=PRIDE:0000643	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	1	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	unfractionated	8%	reference
RPE1_gel8_even_GF14	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT126;AC=PRIDE:0000516	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	2	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	14	8%	study sample
RPE1_gel8_even_GF28	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT127N;AC=PRIDE:0000519	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	2	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	28	8%	study sample
RPE1_gel8_even_GF06	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT127C;AC=PRIDE:0000518	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	2	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	6	8%	study sample
RPE1_gel8_even_GF12	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT128N;AC=PRIDE:0000522	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	2	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	12	8%	study sample
RPE1_gel8_even_GF24	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT128C;AC=PRIDE:0000521	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	2	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	24	8%	study sample
RPE1_gel8_even_GF08	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT129N;AC=PRIDE:0000525	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	2	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	8	8%	study sample
RPE1_gel8_even_GF02	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT129C;AC=PRIDE:0000524	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	2	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2	8%	study sample
RPE1_gel8_even_GF16	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT130N;AC=PRIDE:0000528	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	2	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	16	8%	study sample
RPE1_gel8_even_GF20	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT130C;AC=PRIDE:0000527	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	2	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	20	8%	study sample
RPE1_gel8_even_GF26	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT131N;AC=PRIDE:0000580	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	2	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	26	8%	study sample
RPE1_gel8_even_GF22	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	infant	1Y	female	not available	ATCC	not available	study sample	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=TMT131C;AC=PRIDE:0000581	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	350m/z	1500m/z	2	1	Beaker_20201223_AK_HStmtpro_px07_8per_Even_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	22	8%	study sample
