source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[sdrf template]
CTx_2nd_Total_ID_8	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	8	not available	not available	CTx_2nd_Total_ID_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	CTx_2nd_Total_ID_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/CTx_2nd_Total_ID_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
CTx_1_Total_ID_10	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	10	not available	not available	CTx_1_Total_ID_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	CTx_1_Total_ID_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/CTx_1_Total_ID_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
CTx_2nd_Total_ID_2	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	2	not available	not available	CTx_2nd_Total_ID_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	CTx_2nd_Total_ID_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/CTx_2nd_Total_ID_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
CTx_2_TiO2_3_Repeat	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	not available	not available	CTx_2_TiO2_3_Repeat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	CTx_2_TiO2_3_Repeat.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/CTx_2_TiO2_3_Repeat.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
CTx_2nd_Total_ID_6	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	6	not available	not available	CTx_2nd_Total_ID_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	CTx_2nd_Total_ID_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/CTx_2nd_Total_ID_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
Mix4_Total_Reinj_12	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	12	not available	not available	Mix4_Total_Reinj_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Mix4_Total_Reinj_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/Mix4_Total_Reinj_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
Mix4_TiO2_3_1	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	not available	not available	Mix4_TiO2_3_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Mix4_TiO2_3_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/Mix4_TiO2_3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
Mix4_Total_6	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	6	not available	not available	Mix4_Total_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Mix4_Total_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/Mix4_Total_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
Mix4_TiO2_1_6	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	6	not available	not available	Mix4_TiO2_1_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Mix4_TiO2_1_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/Mix4_TiO2_1_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
CTx_SILAC_Control_H_5ul_3	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	3	not available	not available	CTx_SILAC_Control_H_5ul_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	CTx_SILAC_Control_H_5ul_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/CTx_SILAC_Control_H_5ul_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
Mix4_Total_Reinj_11	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	11	not available	not available	Mix4_Total_Reinj_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Mix4_Total_Reinj_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/Mix4_Total_Reinj_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
Mix4_Total_9	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	9	not available	not available	Mix4_Total_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Mix4_Total_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/Mix4_Total_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
Mix4_TiO2_1_3	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	3	not available	not available	Mix4_TiO2_1_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Mix4_TiO2_1_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/Mix4_TiO2_1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
Mix4_TiO2_Reinj_1_4	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	4	not available	not available	Mix4_TiO2_Reinj_1_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Mix4_TiO2_Reinj_1_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/Mix4_TiO2_Reinj_1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
CTx_1_Total_ID_6	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	6	not available	not available	CTx_1_Total_ID_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	CTx_1_Total_ID_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/CTx_1_Total_ID_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
CTx_1_TiO2_3	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	3	not available	not available	CTx_1_TiO2_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	CTx_1_TiO2_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/CTx_1_TiO2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
Mix4_InSol_TiO2_5	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	5	not available	not available	Mix4_InSol_TiO2_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Mix4_InSol_TiO2_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/Mix4_InSol_TiO2_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
Mix4_InSol_Tio2_Reinj_5	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	5	not available	not available	Mix4_InSol_Tio2_Reinj_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Mix4_InSol_Tio2_Reinj_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/Mix4_InSol_Tio2_Reinj_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
CTx_1_TIO2_6	homo sapiens	not available	MDA-MB-231 cell	not available	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	6	not available	not available	CTx_1_TIO2_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	CTx_1_TIO2_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/06/PXD000239/CTx_1_TIO2_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
