source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
HIP_PSD_unten_TiO_110_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	HIP_PSD_unten_TiO_110_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	HIP_PSD_unten_TiO_110_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/HIP_PSD_unten_TiO_110_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
HIP_PSD_oben_TiO_110_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	HIP_PSD_oben_TiO_110_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	HIP_PSD_oben_TiO_110_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/HIP_PSD_oben_TiO_110_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
FC_oben_PSD_TiO_153_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	FC_oben_PSD_TiO_153_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	FC_oben_PSD_TiO_153_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/FC_oben_PSD_TiO_153_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
AC_oben_PSD_TiO_150_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	AC_oben_PSD_TiO_150_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AC_oben_PSD_TiO_150_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/AC_oben_PSD_TiO_150_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
STR_unten_PSD_TiO_149_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	STR_unten_PSD_TiO_149_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	STR_unten_PSD_TiO_149_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/STR_unten_PSD_TiO_149_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
STR_unten_PSD_TiO_150_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	STR_unten_PSD_TiO_150_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	STR_unten_PSD_TiO_150_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/STR_unten_PSD_TiO_150_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
HIP_PSD_unten_TiO_112_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	HIP_PSD_unten_TiO_112_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	HIP_PSD_unten_TiO_112_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/HIP_PSD_unten_TiO_112_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
STR_unten_PSD_TiO_151_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	STR_unten_PSD_TiO_151_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	STR_unten_PSD_TiO_151_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/STR_unten_PSD_TiO_151_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
FC_PSD_unten_154_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	FC_PSD_unten_154_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	FC_PSD_unten_154_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/FC_PSD_unten_154_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
FC_PSD_oben_155_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	FC_PSD_oben_155_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	FC_PSD_oben_155_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/FC_PSD_oben_155_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
FC_PSD_unten_150_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	FC_PSD_unten_150_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	FC_PSD_unten_150_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/FC_PSD_unten_150_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
STR_unten_PSD_TiO_153_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	STR_unten_PSD_TiO_153_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	STR_unten_PSD_TiO_153_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/STR_unten_PSD_TiO_153_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
FC_PSD_oben_150_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	FC_PSD_oben_150_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	FC_PSD_oben_150_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/FC_PSD_oben_150_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
HIP_PSD_unten_TiO_120_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	HIP_PSD_unten_TiO_120_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	HIP_PSD_unten_TiO_120_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/HIP_PSD_unten_TiO_120_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
AC_unten_PSD_TiO_155_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	AC_unten_PSD_TiO_155_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AC_unten_PSD_TiO_155_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/AC_unten_PSD_TiO_155_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
STR_PSD_oben_156_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	STR_PSD_oben_156_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	STR_PSD_oben_156_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/STR_PSD_oben_156_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
AC_PSD_unten_151_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	AC_PSD_unten_151_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AC_PSD_unten_151_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/AC_PSD_unten_151_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
STR_oben_PSD_TiO_145_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	STR_oben_PSD_TiO_145_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	STR_oben_PSD_TiO_145_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/STR_oben_PSD_TiO_145_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
STR_oben_PSD_TiO_156_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	STR_oben_PSD_TiO_156_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	STR_oben_PSD_TiO_156_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/STR_oben_PSD_TiO_156_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
HIP_PSD_unten_120_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	HIP_PSD_unten_120_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	HIP_PSD_unten_120_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/HIP_PSD_unten_120_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
STR_PSD_oben_147_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	STR_PSD_oben_147_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	STR_PSD_oben_147_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/STR_PSD_oben_147_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
FC_PSD_oben_154_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	FC_PSD_oben_154_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	FC_PSD_oben_154_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/FC_PSD_oben_154_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
HIP_PSD_oben_TiO_113_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	HIP_PSD_oben_TiO_113_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	HIP_PSD_oben_TiO_113_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/HIP_PSD_oben_TiO_113_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
STR_unten_PSD_TiO_156_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	STR_unten_PSD_TiO_156_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	STR_unten_PSD_TiO_156_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/STR_unten_PSD_TiO_156_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
STR_PSD_oben_152_nv.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	STR_PSD_oben_152_nv.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	STR_PSD_oben_152_nv.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/STR_PSD_oben_152_nv.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
AC_PSD_unten_145_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	AC_PSD_unten_145_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AC_PSD_unten_145_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/AC_PSD_unten_145_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
HIP_PSD_unten_109_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	HIP_PSD_unten_109_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	HIP_PSD_unten_109_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/HIP_PSD_unten_109_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
FC_PSD_unten_146_av.pride	mus musculus	brain	not applicable	not available	enrichment of phosphorylated protein	male	1	FC_PSD_unten_146_av.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	2 Da	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	FC_PSD_unten_146_av.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003089/generated/FC_PSD_unten_146_av.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
