source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
RIPA_L_B_2	RIPA_L_B_2	wastewater metagenome	Cell culture	not applicable	not available	Evaluation_of_Protein_Extraction_Methods_to_Improve_Meta-Proteomics_Analysis_of_Treated_Wastewater_Biofilms	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	RIPA_L_B_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RIPA_L_B_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
RIPA_L_B_3	RIPA_L_B_3	wastewater metagenome	Cell culture	not applicable	not available	Evaluation_of_Protein_Extraction_Methods_to_Improve_Meta-Proteomics_Analysis_of_Treated_Wastewater_Biofilms	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	RIPA_L_B_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RIPA_L_B_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
RIPA_L_CC_1	RIPA_L_CC_1	wastewater metagenome	Cell culture	not applicable	not available	Evaluation_of_Protein_Extraction_Methods_to_Improve_Meta-Proteomics_Analysis_of_Treated_Wastewater_Biofilms	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	RIPA_L_CC_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RIPA_L_CC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
RIPA_L_CC_2	RIPA_L_CC_2	wastewater metagenome	Cell culture	not applicable	not available	Evaluation_of_Protein_Extraction_Methods_to_Improve_Meta-Proteomics_Analysis_of_Treated_Wastewater_Biofilms	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	RIPA_L_CC_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RIPA_L_CC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
SDS_H_CC_2	SDS_H_CC_2	wastewater metagenome	Cell culture	not applicable	not available	Evaluation_of_Protein_Extraction_Methods_to_Improve_Meta-Proteomics_Analysis_of_Treated_Wastewater_Biofilms	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	SDS_H_CC_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SDS_H_CC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
SDS_H_ClB_3	SDS_H_ClB_3	wastewater metagenome	Cell culture	not applicable	not available	Evaluation_of_Protein_Extraction_Methods_to_Improve_Meta-Proteomics_Analysis_of_Treated_Wastewater_Biofilms	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	SDS_H_ClB_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SDS_H_ClB_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
SDS_L_CC_1	SDS_L_CC_1	wastewater metagenome	Cell culture	not applicable	not available	Evaluation_of_Protein_Extraction_Methods_to_Improve_Meta-Proteomics_Analysis_of_Treated_Wastewater_Biofilms	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	SDS_L_CC_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SDS_L_CC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
SDS_L_CC_2	SDS_L_CC_2	wastewater metagenome	Cell culture	not applicable	not available	Evaluation_of_Protein_Extraction_Methods_to_Improve_Meta-Proteomics_Analysis_of_Treated_Wastewater_Biofilms	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	SDS_L_CC_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SDS_L_CC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
SDS_L_CC_3	SDS_L_CC_3	wastewater metagenome	Cell culture	not applicable	not available	Evaluation_of_Protein_Extraction_Methods_to_Improve_Meta-Proteomics_Analysis_of_Treated_Wastewater_Biofilms	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	SDS_L_CC_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SDS_L_CC_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
SDS_L_ClB_1	SDS_L_ClB_1	wastewater metagenome	Cell culture	not applicable	not available	Evaluation_of_Protein_Extraction_Methods_to_Improve_Meta-Proteomics_Analysis_of_Treated_Wastewater_Biofilms	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	SDS_L_ClB_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SDS_L_ClB_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
Urea_H_CC_1	Urea_H_CC_1	wastewater metagenome	Cell culture	not applicable	not available	Evaluation_of_Protein_Extraction_Methods_to_Improve_Meta-Proteomics_Analysis_of_Treated_Wastewater_Biofilms	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Urea_H_CC_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Urea_H_CC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
Urea_H_CC_3	Urea_H_CC_3	wastewater metagenome	Cell culture	not applicable	not available	Evaluation_of_Protein_Extraction_Methods_to_Improve_Meta-Proteomics_Analysis_of_Treated_Wastewater_Biofilms	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Urea_H_CC_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Urea_H_CC_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
Urea_L_CC_3	Urea_L_CC_3	wastewater metagenome	Cell culture	not applicable	not available	Evaluation_of_Protein_Extraction_Methods_to_Improve_Meta-Proteomics_Analysis_of_Treated_Wastewater_Biofilms	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Urea_L_CC_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Urea_L_CC_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
