source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
nuclei_2807_SCX2	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_2807_SCX2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_2807_SCX2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_2807_SCX2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
nuclei_1507_SCX12	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_1507_SCX12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_1507_SCX12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_1507_SCX12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_2807_SCX13	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_2807_SCX13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_2807_SCX13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_2807_SCX13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_1507_SCX16	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_1507_SCX16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_1507_SCX16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_1507_SCX16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_2807_SCX16	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_2807_SCX16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_2807_SCX16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_2807_SCX16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
nuclei_1507_SCX2	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_1507_SCX2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_1507_SCX2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_1507_SCX2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
nuclei_0808_SCX6	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_0808_SCX6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_0808_SCX6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_0808_SCX6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
nuclei_2807_SCX3	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_2807_SCX3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_2807_SCX3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_2807_SCX3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_0808_SCX15	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_0808_SCX15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_0808_SCX15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_0808_SCX15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_2807_SCX2	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_2807_SCX2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_2807_SCX2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_2807_SCX2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
nuclei_1507_SCX16	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_1507_SCX16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_1507_SCX16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_1507_SCX16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
nuclei_1507_SCX5	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_1507_SCX5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_1507_SCX5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_1507_SCX5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_2807_SCX10	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_2807_SCX10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_2807_SCX10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_2807_SCX10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_0808_SCX13	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_0808_SCX13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_0808_SCX13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_0808_SCX13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
nuclei_0808_SCX13	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_0808_SCX13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_0808_SCX13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_0808_SCX13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_1507_SCX11	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_1507_SCX11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_1507_SCX11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_1507_SCX11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
nuclei_1507_SCX7	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_1507_SCX7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_1507_SCX7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_1507_SCX7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_0808_SCX12	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_0808_SCX12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_0808_SCX12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_0808_SCX12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
nuclei_0808_SCX11	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_0808_SCX11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_0808_SCX11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_0808_SCX11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
nuclei_0808_SCX2	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_0808_SCX2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_0808_SCX2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_0808_SCX2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_0808_SCX14	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_0808_SCX14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_0808_SCX14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_0808_SCX14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_2807_SCX11	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_2807_SCX11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_2807_SCX11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_2807_SCX11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_0808_SCX6	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_0808_SCX6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_0808_SCX6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_0808_SCX6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_0808_SCX2	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_0808_SCX2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_0808_SCX2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_0808_SCX2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_0808_SCX8	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_0808_SCX8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_0808_SCX8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_0808_SCX8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
nuclei_1507_SCX14	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_1507_SCX14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_1507_SCX14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_1507_SCX14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
SN_1507_SCX5	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	SN_1507_SCX5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	SN_1507_SCX5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/SN_1507_SCX5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
nuclei_1507_SCX9	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_1507_SCX9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_1507_SCX9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_1507_SCX9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
nuclei_2807_SCX13	mus musculus	stem	not applicable	not available	enrichment of phosphorylated protein	1	nuclei_2807_SCX13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	nuclei_2807_SCX13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD003247/nuclei_2807_SCX13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	stem
