source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
H1975_pST_BR2_F13_130603151248	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR2_F13_130603151248	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	H1975_pST_BR2_F13_130603151248.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR2_F13_130603151248.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR3_F9	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR3_F9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	9	1	H1975_pST_BR3_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR3_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Harrys_20101126_H3255_3SILAC_Erlotinib_f15	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	Harrys_20101126_H3255_3SILAC_Erlotinib_f15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	15	1	Harrys_20101126_H3255_3SILAC_Erlotinib_f15.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/Harrys_20101126_H3255_3SILAC_Erlotinib_f15.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Udayan_H3255_EGF_Erlotinib_TiO2_F01	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	Udayan_H3255_EGF_Erlotinib_TiO2_F01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	Udayan_H3255_EGF_Erlotinib_TiO2_F01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/Udayan_H3255_EGF_Erlotinib_TiO2_F01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Udayan_H3255_EGF_Erlotinib_TiO2_F04	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	Udayan_H3255_EGF_Erlotinib_TiO2_F04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	4	1	Udayan_H3255_EGF_Erlotinib_TiO2_F04.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/Udayan_H3255_EGF_Erlotinib_TiO2_F04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Harrys_20101126_H3255_3SILAC_Erlotinib_f14	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	Harrys_20101126_H3255_3SILAC_Erlotinib_f14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	14	1	Harrys_20101126_H3255_3SILAC_Erlotinib_f14.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/Harrys_20101126_H3255_3SILAC_Erlotinib_f14.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR3_F8	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR3_F8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	8	1	H1975_pST_BR3_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR3_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R1_F5_a	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R1_F5_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	H3255_pST_SILAC_R1_F5_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R1_F5_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R1_F12	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R1_F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	12	1	H3255_pST_SILAC_R1_F12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R1_F12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R1_F6_a	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R1_F6_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	H3255_pST_SILAC_R1_F6_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R1_F6_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR3_F4	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR3_F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	4	1	H1975_pST_BR3_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR3_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Udayan_H3255_EGF_Erlotinib_TiO2_F09	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	Udayan_H3255_EGF_Erlotinib_TiO2_F09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	9	1	Udayan_H3255_EGF_Erlotinib_TiO2_F09.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/Udayan_H3255_EGF_Erlotinib_TiO2_F09.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Udayan_H3255_EGF_Erlotinib_TiO2_F12	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	Udayan_H3255_EGF_Erlotinib_TiO2_F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	12	1	Udayan_H3255_EGF_Erlotinib_TiO2_F12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/Udayan_H3255_EGF_Erlotinib_TiO2_F12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R2_F3	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R2_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	3	1	H3255_pST_SILAC_R2_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R2_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Harrys_20101126_H3255_3SILAC_Erlotinib_f04	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	Harrys_20101126_H3255_3SILAC_Erlotinib_f04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	4	1	Harrys_20101126_H3255_3SILAC_Erlotinib_f04.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/Harrys_20101126_H3255_3SILAC_Erlotinib_f04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR3_F2	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR3_F2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	2	1	H1975_pST_BR3_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR3_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R1_F3	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R1_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	3	1	H3255_pST_SILAC_R1_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R1_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R2_F12	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R2_F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	12	1	H3255_pST_SILAC_R2_F12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R2_F12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R1_F11_a	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R1_F11_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	H3255_pST_SILAC_R1_F11_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R1_F11_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR2_F2	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR2_F2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	2	1	H1975_pST_BR2_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR2_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Harrys_20101126_H3255_3SILAC_Erlotinib_f05	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	Harrys_20101126_H3255_3SILAC_Erlotinib_f05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	5	1	Harrys_20101126_H3255_3SILAC_Erlotinib_f05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/Harrys_20101126_H3255_3SILAC_Erlotinib_f05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR2_F7	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR2_F7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	7	1	H1975_pST_BR2_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR2_F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
