source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[ancestry category]	characteristics[biorepository]	characteristics[passage number]	characteristics[treatment]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms min mz]	comment[ms max mz]	comment[ms min charge]	comment[ms max charge]	comment[ms max rt]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[time]	factor value[treatment]
DT40_freerun_5min_rep4	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	untreated	study sample	4	Ref8629_NK_28_20230321	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8629_NK_28_20230321.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	5 minute	untreated
DT40_freerun_5min_rep4	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	untreated	study sample	4	Ref8629_NK_28_20230330	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	2	Ref8629_NK_28_20230330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	5 minute	untreated
DT40_freerun_7.5min_rep4	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	untreated	study sample	4	Ref8629_NK_29_20230321	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8629_NK_29_20230321.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	7.5 minute	untreated
DT40_freerun_7.5min_rep4	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	untreated	study sample	4	Ref8629_NK_29_20230330	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	2	Ref8629_NK_29_20230330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	7.5 minute	untreated
DT40_freerun_15min_rep4	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	untreated	study sample	4	Ref8629_NK_30_20230321	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8629_NK_30_20230321.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	15 minute	untreated
DT40_freerun_15min_rep4	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	untreated	study sample	4	Ref8629_NK_30_20230330	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	2	Ref8629_NK_30_20230330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	15 minute	untreated
DT40_freerun_30min_rep4	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	untreated	study sample	4	Ref8629_NK_31_20230321	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8629_NK_31_20230321.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	30 minute	untreated
DT40_freerun_30min_rep4	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	untreated	study sample	4	Ref8629_NK_31_20230330	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	2	Ref8629_NK_31_20230330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	30 minute	untreated
DT40_noc_G2_rep1	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	1-NM-PP1	study sample	1	Ref8966_NK_1_20230906	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8966_NK_1_20230906.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	G2	1-NM-PP1
DT40_noc_2.5min_rep1	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	Nocodazole	study sample	1	Ref8966_NK_2_20230906	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8966_NK_2_20230906.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2.5 minute	Nocodazole
DT40_noc_15min_rep1	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	Nocodazole	study sample	1	Ref8966_NK_3_20230906	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8966_NK_3_20230906.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	15 minute	Nocodazole
DT40_noc_120min_rep1	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	Nocodazole	study sample	1	Ref8966_NK_4_20230906	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8966_NK_4_20230906.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	120 minute	Nocodazole
DT40_noc_G2_rep2	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	1-NM-PP1	study sample	2	Ref8966_NK_5_20230906	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8966_NK_5_20230906.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	G2	1-NM-PP1
DT40_noc_2.5min_rep2	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	Nocodazole	study sample	2	Ref8966_NK_6_20230906	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8966_NK_6_20230906.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2.5 minute	Nocodazole
DT40_noc_15min_rep2	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	Nocodazole	study sample	2	Ref8966_NK_7_20230906	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8966_NK_7_20230906.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	15 minute	Nocodazole
DT40_noc_120min_rep2	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	Nocodazole	study sample	2	Ref8966_NK_8_20230906	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8966_NK_8_20230906.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	120 minute	Nocodazole
DT40_noc_G2_rep3	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	1-NM-PP1	study sample	3	Ref8966_NK_9_20230906	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8966_NK_9_20230906.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	G2	1-NM-PP1
DT40_noc_2.5min_rep3	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	Nocodazole	study sample	3	Ref8966_NK_10_20230906	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8966_NK_10_20230906.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2.5 minute	Nocodazole
DT40_noc_15min_rep3	Gallus gallus	bursa of Fabricius	chicken bursal lymphoma	B cell	cell line	DT40	CVCL_0249	DT40	bursa of Fabricius	neonate	1D	female	Hy-Line SC	not applicable	not available	not available	Nocodazole	study sample	3	Ref8966_NK_11_20230906	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	NT=orbitrap;AC=MS:1000484	250m/z	900m/z	2	5	90	1	1	Ref8966_NK_11_20230906.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	15 minute	Nocodazole
