source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[genotype]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[instrument]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms min mz]	comment[ms max mz]	comment[ms1 scan range]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sample preparation batch]	comment[acquisition date]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[genotype]	factor value[cell type]
PXD062085-CD8T-wt-rep3	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr wild type	3	not available	not available	not available	not available	run 56	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C04-F031-X0335-1.raw	1	NT=TMT129C;AC=PRIDE:0000524	20	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T09:11:01	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr wild type	CD8-positive, alpha-beta T cell
PXD062085-CD8T-del52-rep1	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr del52 (CALRdel52) mutant	1	not available	not available	not available	not available	run 56	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C04-F031-X0335-1.raw	1	NT=TMT130C;AC=PRIDE:0000527	20	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T09:11:01	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr del52 (CALRdel52) mutant	CD8-positive, alpha-beta T cell
PXD062085-CD8T-del52-rep2	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr del52 (CALRdel52) mutant	2	not available	not available	not available	not available	run 56	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C04-F031-X0335-1.raw	1	NT=TMT131C;AC=PRIDE:0000581	20	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T09:11:01	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr del52 (CALRdel52) mutant	CD8-positive, alpha-beta T cell
PXD062085-CD8T-del52-rep3	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr del52 (CALRdel52) mutant	3	not available	not available	not available	not available	run 56	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C04-F031-X0335-1.raw	1	NT=TMT132C;AC=PRIDE:0000583	20	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T09:11:01	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr del52 (CALRdel52) mutant	CD8-positive, alpha-beta T cell
PXD062085-CD8T-KO-rep1	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr knockout	1	not available	not available	not available	not available	run 56	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C04-F031-X0335-1.raw	1	NT=TMT133C;AC=PRIDE:0000633	20	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T09:11:01	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr knockout	CD8-positive, alpha-beta T cell
PXD062085-CD8T-KO-rep2	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr knockout	2	not available	not available	not available	not available	run 56	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C04-F031-X0335-1.raw	1	NT=TMT134C;AC=PRIDE:0000642	20	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T09:11:01	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr knockout	CD8-positive, alpha-beta T cell
PXD062085-CD8T-KO-rep3	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr knockout	3	not available	not available	not available	not available	run 56	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C04-F031-X0335-1.raw	1	NT=TMT135N;AC=PRIDE:0000670	20	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T09:11:01	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr knockout	CD8-positive, alpha-beta T cell
PXD062085-CD8T-wt-rep1	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr wild type	1	not available	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C05-F031-X0335-1.raw	1	NT=TMT127C;AC=PRIDE:0000518	21	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T11:13:09	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr wild type	CD8-positive, alpha-beta T cell
PXD062085-CD8T-wt-rep2	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr wild type	2	not available	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C05-F031-X0335-1.raw	1	NT=TMT128C;AC=PRIDE:0000521	21	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T11:13:09	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr wild type	CD8-positive, alpha-beta T cell
PXD062085-CD8T-wt-rep3	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr wild type	3	not available	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C05-F031-X0335-1.raw	1	NT=TMT129C;AC=PRIDE:0000524	21	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T11:13:09	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr wild type	CD8-positive, alpha-beta T cell
PXD062085-CD8T-del52-rep1	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr del52 (CALRdel52) mutant	1	not available	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C05-F031-X0335-1.raw	1	NT=TMT130C;AC=PRIDE:0000527	21	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T11:13:09	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr del52 (CALRdel52) mutant	CD8-positive, alpha-beta T cell
PXD062085-CD8T-del52-rep2	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr del52 (CALRdel52) mutant	2	not available	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C05-F031-X0335-1.raw	1	NT=TMT131C;AC=PRIDE:0000581	21	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T11:13:09	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr del52 (CALRdel52) mutant	CD8-positive, alpha-beta T cell
PXD062085-CD8T-del52-rep3	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr del52 (CALRdel52) mutant	3	not available	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C05-F031-X0335-1.raw	1	NT=TMT132C;AC=PRIDE:0000583	21	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T11:13:09	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr del52 (CALRdel52) mutant	CD8-positive, alpha-beta T cell
PXD062085-CD8T-KO-rep1	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr knockout	1	not available	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C05-F031-X0335-1.raw	1	NT=TMT133C;AC=PRIDE:0000633	21	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T11:13:09	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr knockout	CD8-positive, alpha-beta T cell
PXD062085-CD8T-KO-rep2	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr knockout	2	not available	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C05-F031-X0335-1.raw	1	NT=TMT134C;AC=PRIDE:0000642	21	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T11:13:09	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr knockout	CD8-positive, alpha-beta T cell
PXD062085-CD8T-KO-rep3	Mus musculus	not available	CD8-positive, alpha-beta T cell	Calr knockout	3	not available	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	IP_MHo_041-V0057-C05-F031-X0335-1.raw	1	NT=TMT135N;AC=PRIDE:0000670	21	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	33% NCE	NT=orbitrap;AC=MS:1000484	375m/z	1650m/z	375m/z-1650m/z	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	10 ppm	0.02 Da	IP_MHo_041-V0057-X0335	2024-10-24T11:13:09	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=TMTpro;MT=Fixed;PP=Any N-term;AC=UNIMOD:2016	NT=TMTpro;MT=Fixed;TA=K;AC=UNIMOD:2016	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Deamidated;MT=Variable;TA=Q;AC=UNIMOD:7	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Met-loss;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:766	Calr knockout	CD8-positive, alpha-beta T cell
