source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
F016763.dat-pride-filtered.pride	saccharomyces cerevisiae	heart	not applicable	not available	enrichment of phosphorylated protein	1	F016763.dat-pride-filtered.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	10 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F016763.dat-pride-filtered.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD001368/generated/F016763.dat-pride-filtered.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
F016776.dat-pride.pride	saccharomyces cerevisiae	heart	not applicable	not available	enrichment of phosphorylated protein	1	F016776.dat-pride.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	10 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F016776.dat-pride.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD001368/generated/F016776.dat-pride.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
F016747.dat-pride.pride	saccharomyces cerevisiae	heart	not applicable	not available	enrichment of phosphorylated protein	1	F016747.dat-pride.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	10 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F016747.dat-pride.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD001368/generated/F016747.dat-pride.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
F016753.dat-pride-filtered.pride	saccharomyces cerevisiae	heart	not applicable	not available	enrichment of phosphorylated protein	1	F016753.dat-pride-filtered.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	10 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F016753.dat-pride-filtered.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD001368/generated/F016753.dat-pride-filtered.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
F016749.dat-pride-filtered.pride	saccharomyces cerevisiae	heart	not applicable	not available	enrichment of phosphorylated protein	1	F016749.dat-pride-filtered.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	10 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F016749.dat-pride-filtered.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD001368/generated/F016749.dat-pride-filtered.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
F016771.dat-pride-filtered.pride	saccharomyces cerevisiae	heart	not applicable	not available	enrichment of phosphorylated protein	1	F016771.dat-pride-filtered.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	10 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F016771.dat-pride-filtered.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD001368/generated/F016771.dat-pride-filtered.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
F016756.dat-pride.pride	saccharomyces cerevisiae	heart	not applicable	not available	enrichment of phosphorylated protein	1	F016756.dat-pride.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	10 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F016756.dat-pride.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD001368/generated/F016756.dat-pride.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
F016750.dat-pride.pride	saccharomyces cerevisiae	heart	not applicable	not available	enrichment of phosphorylated protein	1	F016750.dat-pride.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	10 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F016750.dat-pride.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD001368/generated/F016750.dat-pride.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
F016771.dat-pride.pride	saccharomyces cerevisiae	heart	not applicable	not available	enrichment of phosphorylated protein	1	F016771.dat-pride.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	10 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F016771.dat-pride.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD001368/generated/F016771.dat-pride.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
F016754.dat-pride-filtered.pride	saccharomyces cerevisiae	heart	not applicable	not available	enrichment of phosphorylated protein	1	F016754.dat-pride-filtered.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	10 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F016754.dat-pride-filtered.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD001368/generated/F016754.dat-pride-filtered.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
F016751.dat-pride.pride	saccharomyces cerevisiae	heart	not applicable	not available	enrichment of phosphorylated protein	1	F016751.dat-pride.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	10 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F016751.dat-pride.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD001368/generated/F016751.dat-pride.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
