source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_9_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_9_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_9_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_9_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_11_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_11_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_11_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_11_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130114_HepG2_041012_SCL_T2KOM_95_IEF_1_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130114_HepG2_041012_SCL_T2KOM_95_IEF_1_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130114_HepG2_041012_SCL_T2KOM_95_IEF_1_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130114_HepG2_041012_SCL_T2KOM_95_IEF_1_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130215_KS_HepG2_sec_150113_AAVS1_T3KI_95_IEF_11_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130215_KS_HepG2_sec_150113_AAVS1_T3KI_95_IEF_11_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130215_KS_HepG2_sec_150113_AAVS1_T3KI_95_IEF_11_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130215_KS_HepG2_sec_150113_AAVS1_T3KI_95_IEF_11_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_2_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_2_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_2_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_2_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130114_HepG2_011012_SCL_T2KOM_95_IEF_2_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130114_HepG2_011012_SCL_T2KOM_95_IEF_2_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130114_HepG2_011012_SCL_T2KOM_95_IEF_2_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130114_HepG2_011012_SCL_T2KOM_95_IEF_2_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
121120_HepG2_041012_SCL_T1KOM_95_IEF_5_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	121120_HepG2_041012_SCL_T1KOM_95_IEF_5_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	121120_HepG2_041012_SCL_T1KOM_95_IEF_5_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/121120_HepG2_041012_SCL_T1KOM_95_IEF_5_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_6_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_6_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_6_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_6_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130215_KS_HepG2_sec_150113_AAVS1_T3KI_95_IEF_2_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130215_KS_HepG2_sec_150113_AAVS1_T3KI_95_IEF_2_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130215_KS_HepG2_sec_150113_AAVS1_T3KI_95_IEF_2_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130215_KS_HepG2_sec_150113_AAVS1_T3KI_95_IEF_2_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_8_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_8_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_8_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_8_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_10_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_10_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_10_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_10_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
121120_HepG2_041012_SCL_T1KOM_95_IEF_11_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	121120_HepG2_041012_SCL_T1KOM_95_IEF_11_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	121120_HepG2_041012_SCL_T1KOM_95_IEF_11_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/121120_HepG2_041012_SCL_T1KOM_95_IEF_11_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130716_KS_HepG2_TCL_050713_diff_T3KI_AAVS1_95_IEF_1_100_HCD_ETD	homo sapiens	Cell culture	not applicable	not available	1	130716_KS_HepG2_TCL_050713_diff_T3KI_AAVS1_95_IEF_1_100_HCD_ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130716_KS_HepG2_TCL_050713_diff_T3KI_AAVS1_95_IEF_1_100_HCD_ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130716_KS_HepG2_TCL_050713_diff_T3KI_AAVS1_95_IEF_1_100_HCD_ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130602_KS_HepG2_sec_040413_T1KO_Dimethyl_LWAC_19_100_2h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130602_KS_HepG2_sec_040413_T1KO_Dimethyl_LWAC_19_100_2h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130602_KS_HepG2_sec_040413_T1KO_Dimethyl_LWAC_19_100_2h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130602_KS_HepG2_sec_040413_T1KO_Dimethyl_LWAC_19_100_2h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130114_HepG2_011012_SCL_T2KOM_95_IEF_4_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130114_HepG2_011012_SCL_T2KOM_95_IEF_4_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130114_HepG2_011012_SCL_T2KOM_95_IEF_4_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130114_HepG2_011012_SCL_T2KOM_95_IEF_4_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
121120_HepG2_041012_SCL_T1KOM_95_IEF_2_100_2h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	121120_HepG2_041012_SCL_T1KOM_95_IEF_2_100_2h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	121120_HepG2_041012_SCL_T1KOM_95_IEF_2_100_2h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/121120_HepG2_041012_SCL_T1KOM_95_IEF_2_100_2h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130602_KS_HepG2_sec_040413_T1KO_Dimethyl_LWAC_22_100_2h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130602_KS_HepG2_sec_040413_T1KO_Dimethyl_LWAC_22_100_2h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130602_KS_HepG2_sec_040413_T1KO_Dimethyl_LWAC_22_100_2h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130602_KS_HepG2_sec_040413_T1KO_Dimethyl_LWAC_22_100_2h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130114_HepG2_041012_SCL_T2KOM_95_IEF_3_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130114_HepG2_041012_SCL_T2KOM_95_IEF_3_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130114_HepG2_041012_SCL_T2KOM_95_IEF_3_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130114_HepG2_041012_SCL_T2KOM_95_IEF_3_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_5_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_5_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_5_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_5_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130215_KS_HepG2_sec_150113_AAVS1_T3KI_95_IEF_9_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130215_KS_HepG2_sec_150113_AAVS1_T3KI_95_IEF_9_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130215_KS_HepG2_sec_150113_AAVS1_T3KI_95_IEF_9_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130215_KS_HepG2_sec_150113_AAVS1_T3KI_95_IEF_9_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_9_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_9_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_9_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130116_HepG2_sec_051012_SCL_T2KOM_95_IEF_9_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_1_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_1_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_1_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_1_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_12_100_4h_5HCD_5ETD	homo sapiens	Cell culture	not applicable	not available	1	130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_12_100_4h_5HCD_5ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	50 mmu	isoelectric focusing	1	1	130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_12_100_4h_5HCD_5ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002770/130602_KS_HepG2_sec_040413_Dimethyl_T1KO_95_IEF_12_100_4h_5HCD_5ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
