source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[developmental stage]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20200205_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_U2OS_SUBCELL_OSMSTR_1hSORB3hREL_FR2_Rep3	homo sapiens	not available	U2OS	not available	enrichment of phosphorylated protein	adult	male	3	20200205_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_U2OS_SUBCELL_OSMSTR_1hSORB3hREL_FR2_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200205_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_U2OS_SUBCELL_OSMSTR_1hSORB3hREL_FR2_Rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200205_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_U2OS_SUBCELL_OSMSTR_1hSORB3hREL_FR2_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_90min_FR2_Rep3	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	adult	male	3	20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_90min_FR2_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_90min_FR2_Rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_90min_FR2_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_20min_FR2_Rep1	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	adult	male	1	20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_20min_FR2_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_20min_FR2_Rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_20min_FR2_Rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20201006_EXPL5_EVO1_AMV_60SPD_DIA_phos_Mouse_Kidney_SubCell_EGF_FR6_Rep1_01	homo sapiens	kidney	not applicable	not available	enrichment of phosphorylated protein	adult	male	1	20201006_EXPL5_EVO1_AMV_60SPD_DIA_phos_Mouse_Kidney_SubCell_EGF_FR6_Rep1_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20201006_EXPL5_EVO1_AMV_60SPD_DIA_phos_Mouse_Kidney_SubCell_EGF_FR6_Rep1_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20201006_EXPL5_EVO1_AMV_60SPD_DIA_phos_Mouse_Kidney_SubCell_EGF_FR6_Rep1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_20min_FR1_Rep2	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	adult	male	2	20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_20min_FR1_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_20min_FR1_Rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_20min_FR1_Rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_8min_FR4_Rep3	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	adult	male	3	20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_8min_FR4_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_8min_FR4_Rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_8min_FR4_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_2min_FR6_Rep4	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	adult	male	4	20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_2min_FR6_Rep4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_2min_FR6_Rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_2min_FR6_Rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20200205_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_U2OS_SUBCELL_OSMSTR_1hSORB30minREL_FR4_Rep4	homo sapiens	not available	U2OS	not available	enrichment of phosphorylated protein	adult	male	4	20200205_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_U2OS_SUBCELL_OSMSTR_1hSORB30minREL_FR4_Rep4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200205_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_U2OS_SUBCELL_OSMSTR_1hSORB30minREL_FR4_Rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200205_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_U2OS_SUBCELL_OSMSTR_1hSORB30minREL_FR4_Rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_8min_FR3_Rep4	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	adult	male	4	20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_8min_FR3_Rep4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_8min_FR3_Rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_8min_FR3_Rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20201002_EXPL8_EVO1_AMV_60SPD_DIA_Prot_FAIMSCV-45_Mouse_Liver_Subcell_CTRL_FR6_REP3_01	homo sapiens	liver	not applicable	not available	enrichment of phosphorylated protein	adult	male	3	20201002_EXPL8_EVO1_AMV_60SPD_DIA_Prot_FAIMSCV-45_Mouse_Liver_Subcell_CTRL_FR6_REP3_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20201002_EXPL8_EVO1_AMV_60SPD_DIA_Prot_FAIMSCV-45_Mouse_Liver_Subcell_CTRL_FR6_REP3_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20201002_EXPL8_EVO1_AMV_60SPD_DIA_Prot_FAIMSCV-45_Mouse_Liver_Subcell_CTRL_FR6_REP3_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_20min_FR6_Rep4	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	adult	male	4	20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_20min_FR6_Rep4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_20min_FR6_Rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_20min_FR6_Rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_2min_FR2_Rep2	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	adult	male	2	20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_2min_FR2_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_2min_FR2_Rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_2min_FR2_Rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20200207_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_U2OS_SUBCELL_OSMSTR_1hSORB30minREL_FR1_Rep4	homo sapiens	not available	U2OS	not available	enrichment of phosphorylated protein	adult	male	4	20200207_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_U2OS_SUBCELL_OSMSTR_1hSORB30minREL_FR1_Rep4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200207_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_U2OS_SUBCELL_OSMSTR_1hSORB30minREL_FR1_Rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200207_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_U2OS_SUBCELL_OSMSTR_1hSORB30minREL_FR1_Rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20200205_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_U2OS_SUBCELL_OSMSTR_1hSORBITOL_FR3_Rep4	homo sapiens	not available	U2OS	not available	enrichment of phosphorylated protein	adult	male	4	20200205_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_U2OS_SUBCELL_OSMSTR_1hSORBITOL_FR3_Rep4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200205_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_U2OS_SUBCELL_OSMSTR_1hSORBITOL_FR3_Rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200205_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_U2OS_SUBCELL_OSMSTR_1hSORBITOL_FR3_Rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20201006_EXPL5_EVO1_AMV_60SPD_DIA_prot_FAIMS-45_Mouse_Kidney_SubCell_EGF_FR5_Rep2_01	homo sapiens	kidney	not applicable	not available	enrichment of phosphorylated protein	adult	male	2	20201006_EXPL5_EVO1_AMV_60SPD_DIA_prot_FAIMS-45_Mouse_Kidney_SubCell_EGF_FR5_Rep2_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20201006_EXPL5_EVO1_AMV_60SPD_DIA_prot_FAIMS-45_Mouse_Kidney_SubCell_EGF_FR5_Rep2_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20201006_EXPL5_EVO1_AMV_60SPD_DIA_prot_FAIMS-45_Mouse_Kidney_SubCell_EGF_FR5_Rep2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_CTRL_FR5_Rep3	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	adult	male	3	20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_CTRL_FR5_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_CTRL_FR5_Rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_CTRL_FR5_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20200207_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_U2OS_SUBCELL_OSMSTR_1hSORB3hREL_FR1_Rep3	homo sapiens	not available	U2OS	not available	enrichment of phosphorylated protein	adult	male	3	20200207_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_U2OS_SUBCELL_OSMSTR_1hSORB3hREL_FR1_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200207_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_U2OS_SUBCELL_OSMSTR_1hSORB3hREL_FR1_Rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200207_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_U2OS_SUBCELL_OSMSTR_1hSORB3hREL_FR1_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_90min_FR3_Rep1	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	adult	male	1	20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_90min_FR3_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_90min_FR3_Rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200214_EXPL2_Evo1_AMV_SA_21m_DIA_Phos_HeLa_SUBCELL_EGF_90min_FR3_Rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20200207_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_U2OS_SUBCELL_OSMSTR_CTRL_FR4_Rep4	homo sapiens	not available	U2OS	not available	enrichment of phosphorylated protein	adult	male	4	20200207_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_U2OS_SUBCELL_OSMSTR_CTRL_FR4_Rep4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200207_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_U2OS_SUBCELL_OSMSTR_CTRL_FR4_Rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200207_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_U2OS_SUBCELL_OSMSTR_CTRL_FR4_Rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20201006_EXPL5_EVO1_AMV_60SPD_DIA_phos_Mouse_Kidney_SubCell_CTRL_FR5_Rep3_01	homo sapiens	kidney	not applicable	not available	enrichment of phosphorylated protein	adult	male	3	20201006_EXPL5_EVO1_AMV_60SPD_DIA_phos_Mouse_Kidney_SubCell_CTRL_FR5_Rep3_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20201006_EXPL5_EVO1_AMV_60SPD_DIA_phos_Mouse_Kidney_SubCell_CTRL_FR5_Rep3_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20201006_EXPL5_EVO1_AMV_60SPD_DIA_phos_Mouse_Kidney_SubCell_CTRL_FR5_Rep3_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_2min_FR5_Rep2	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	adult	male	2	20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_2min_FR5_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=orbitrap exploris 480;AC=MS:1003028	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1 Da	27% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_2min_FR5_Rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD023690/20200217_EXPL2_Evo1_AMV_SA_21m_DIA_Prot_HeLa_SUBCELL_EGF_2min_FR5_Rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
