source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	factor value[source name]
THP1Mac-Expt2-Wis	Homo sapiens	blood	macrophage	2	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by infection with influenza A virus A/Wisconsin/67/2005 (H3N2) at MOI 1.0 for 24 h	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class II protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	HB145	Ben_THPmac_Expt2_MHC2_Wis_Even1	proteomic profiling by mass spectrometry	1	Ben_THPmac_Expt2_MHC2_Wis_Even1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	2	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-27 15:45:55	THP1Mac-Expt2-Wis
THP1Mac-Expt2-Wis	Homo sapiens	blood	macrophage	2	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by infection with influenza A virus A/Wisconsin/67/2005 (H3N2) at MOI 1.0 for 24 h	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class II protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	HB145	Ben_THPmac_Expt2_MHC2_Wis_Even2	proteomic profiling by mass spectrometry	2	Ben_THPmac_Expt2_MHC2_Wis_Even2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	2	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-27 18:11:11	THP1Mac-Expt2-Wis
THP1Mac-Expt2-Wis	Homo sapiens	blood	macrophage	2	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by infection with influenza A virus A/Wisconsin/67/2005 (H3N2) at MOI 1.0 for 24 h	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class II protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	HB145	Ben_THPmac_Expt2_MHC2_Wis_Odd1	proteomic profiling by mass spectrometry	1	Ben_THPmac_Expt2_MHC2_Wis_Odd1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-27 10:55:23	THP1Mac-Expt2-Wis
THP1Mac-Expt2-Wis	Homo sapiens	blood	macrophage	2	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by infection with influenza A virus A/Wisconsin/67/2005 (H3N2) at MOI 1.0 for 24 h	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class II protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	HB145	Ben_THPmac_Expt2_MHC2_Wis_Odd2	proteomic profiling by mass spectrometry	2	Ben_THPmac_Expt2_MHC2_Wis_Odd2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-27 13:20:40	THP1Mac-Expt2-Wis
THP1Mac-Expt2-X31	Homo sapiens	blood	macrophage	2	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by infection with influenza A virus A/X-31 (H3N2) at MOI 1.0 for 24 h	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class II protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	HB145	Ben_THPmac_Expt2_MHC2_X31_Even1	proteomic profiling by mass spectrometry	1	Ben_THPmac_Expt2_MHC2_X31_Even1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	2	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-28 03:36:50	THP1Mac-Expt2-X31
THP1Mac-Expt2-X31	Homo sapiens	blood	macrophage	2	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by infection with influenza A virus A/X-31 (H3N2) at MOI 1.0 for 24 h	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class II protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	HB145	Ben_THPmac_Expt2_MHC2_X31_Even2	proteomic profiling by mass spectrometry	2	Ben_THPmac_Expt2_MHC2_X31_Even2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	2	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-28 06:02:05	THP1Mac-Expt2-X31
THP1Mac-Expt2-X31	Homo sapiens	blood	macrophage	2	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by infection with influenza A virus A/X-31 (H3N2) at MOI 1.0 for 24 h	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class II protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	HB145	Ben_THPmac_Expt2_MHC2_X31_Odd1	proteomic profiling by mass spectrometry	1	Ben_THPmac_Expt2_MHC2_X31_Odd1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-27 22:46:18	THP1Mac-Expt2-X31
THP1Mac-Expt2-X31	Homo sapiens	blood	macrophage	2	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by infection with influenza A virus A/X-31 (H3N2) at MOI 1.0 for 24 h	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class II protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	HB145	Ben_THPmac_Expt2_MHC2_X31_Odd2	proteomic profiling by mass spectrometry	2	Ben_THPmac_Expt2_MHC2_X31_Odd2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-28 01:11:34	THP1Mac-Expt2-X31
THP1Mac-Expt3-UV	Homo sapiens	blood	macrophage	3	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by mock infection with UV-inactivated influenza A virus	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	W6/32	Ben_THPmac_Expt3_MHC1_UV_Even1	proteomic profiling by mass spectrometry	1	Ben_THPmac_Expt3_MHC1_UV_Even1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	2	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-22 22:29:58	THP1Mac-Expt3-UV
THP1Mac-Expt3-UV	Homo sapiens	blood	macrophage	3	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by mock infection with UV-inactivated influenza A virus	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	W6/32	Ben_THPmac_Expt3_MHC1_UV_Even2	proteomic profiling by mass spectrometry	2	Ben_THPmac_Expt3_MHC1_UV_Even2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	2	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-23 00:55:13	THP1Mac-Expt3-UV
THP1Mac-Expt3-UV	Homo sapiens	blood	macrophage	3	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by mock infection with UV-inactivated influenza A virus	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	W6/32	Ben_THPmac_Expt3_MHC1_UV_Odd1	proteomic profiling by mass spectrometry	1	Ben_THPmac_Expt3_MHC1_UV_Odd1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-22 17:39:25	THP1Mac-Expt3-UV
THP1Mac-Expt3-UV	Homo sapiens	blood	macrophage	3	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by mock infection with UV-inactivated influenza A virus	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	W6/32	Ben_THPmac_Expt3_MHC1_UV_Odd2	proteomic profiling by mass spectrometry	2	Ben_THPmac_Expt3_MHC1_UV_Odd2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-22 20:04:41	THP1Mac-Expt3-UV
THP1Mac-Expt3-Wis	Homo sapiens	blood	macrophage	3	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by infection with influenza A virus A/Wisconsin/67/2005 (H3N2) at MOI 1.0 for 24 h	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	W6/32	Ben_THPmac_Expt3_MHC1_Wis_Even1	proteomic profiling by mass spectrometry	1	Ben_THPmac_Expt3_MHC1_Wis_Even1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	2	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-23 10:20:53	THP1Mac-Expt3-Wis
THP1Mac-Expt3-Wis	Homo sapiens	blood	macrophage	3	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by infection with influenza A virus A/Wisconsin/67/2005 (H3N2) at MOI 1.0 for 24 h	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	W6/32	Ben_THPmac_Expt3_MHC1_Wis_Even2	proteomic profiling by mass spectrometry	2	Ben_THPmac_Expt3_MHC1_Wis_Even2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	2	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-23 12:46:06	THP1Mac-Expt3-Wis
THP1Mac-Expt3-Wis	Homo sapiens	blood	macrophage	3	childhood acute monocytic leukemia	cell line	differentiation with 100 ng/mL phorbol 12-myristate 13-acetate for 48 h followed by infection with influenza A virus A/Wisconsin/67/2005 (H3N2) at MOI 1.0 for 24 h	not available	1Y	male	infant	not applicable	THP-1	CVCL_0006	THP-1	blood	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	-80 °C	MHC class I protein complex	immunoaffinity purification (iodoacetamide)	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03;HLA-DRB1*01:01;HLA-DRB1*15:01;HLA-DQB1*05:01;HLA-DQB1*06:02;HLA-DPB1*02:01;HLA-DPB1*04:02	not available	W6/32	Ben_THPmac_Expt3_MHC1_Wis_Odd1	proteomic profiling by mass spectrometry	1	Ben_THPmac_Expt3_MHC1_Wis_Odd1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	26.6% NCE;28% NCE;29.4% NCE	5 ppm	0.03 Da	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Acetyl;MT=Variable;PP=Any N-term;TA=*;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	orbitrap	2019-03-23 05:30:23	THP1Mac-Expt3-Wis
