source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
proteomics_exp1_4	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	4	proteomics_exp1_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	proteomics_exp1_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/proteomics_exp1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp4_repeat_12	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	12	phospho_exp4_repeat_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp4_repeat_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp4_repeat_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp2_18	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	18	phospho_exp2_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp2_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp2_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp5_repeat_14	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	14	phospho_exp5_repeat_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp5_repeat_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp5_repeat_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp3_repeat_2	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	2	phospho_exp3_repeat_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp3_repeat_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp3_repeat_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp5_10	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	10	phospho_exp5_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp5_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp5_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp2_repeat_4	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	4	phospho_exp2_repeat_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp2_repeat_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp2_repeat_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp1_4	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	4	phospho_exp1_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp1_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp4_15	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	15	phospho_exp4_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp4_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp4_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp5_repeat_11	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	11	phospho_exp5_repeat_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp5_repeat_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp5_repeat_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
proteomics_exp4_8	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	8	proteomics_exp4_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	proteomics_exp4_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/proteomics_exp4_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp3_1	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	1	phospho_exp3_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp3_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp4_repeat_7	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	7	phospho_exp4_repeat_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp4_repeat_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp4_repeat_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp5_19	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	19	phospho_exp5_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp5_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp5_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
proteomics_exp5_9	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	9	proteomics_exp5_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	proteomics_exp5_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/proteomics_exp5_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
proteomics_exp3_10	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	10	proteomics_exp3_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	proteomics_exp3_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/proteomics_exp3_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp5_repeat_15	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	15	phospho_exp5_repeat_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp5_repeat_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp5_repeat_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp3_10	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	10	phospho_exp3_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp3_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp3_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp2_repeat_3	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	3	phospho_exp2_repeat_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp2_repeat_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp2_repeat_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp2_repeat_1	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	1	phospho_exp2_repeat_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp2_repeat_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp2_repeat_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp1_2	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	2	phospho_exp1_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
proteomics_exp2_9	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	9	proteomics_exp2_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	proteomics_exp2_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/proteomics_exp2_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp5_16	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	16	phospho_exp5_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp5_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp5_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp3_4	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	4	phospho_exp3_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp3_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp3_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp4_repeat_10	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	10	phospho_exp4_repeat_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp4_repeat_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp4_repeat_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp2_7	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	7	phospho_exp2_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp2_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp2_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp5_repeat_16	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	16	phospho_exp5_repeat_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp5_repeat_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp5_repeat_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp1_8	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	8	phospho_exp1_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp1_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp1_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
