source name	characteristics[organism]	characteristics[strain or breed]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD024525-Sample-69	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_10_Left_Ventricle_Fraction_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_10_Left_Ventricle_Fraction_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-70	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_10_Left_Ventricle_Fraction_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_10_Left_Ventricle_Fraction_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-71	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-72	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-73	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-74	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-75	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-76	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-77	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-78	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-79	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-80	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_11_Left_Ventricle_Fraction_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-81	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-82	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-83	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-84	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-85	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-86	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-87	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-88	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-89	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-90	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_12_Left_Ventricle_Fraction_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-91	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-92	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-93	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-94	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-95	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-96	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-97	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-98	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-99	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-100	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_13_Left_Ventricle_Fraction_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-101	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_14_Left_Ventricle_Fraction_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_14_Left_Ventricle_Fraction_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-102	Mus musculus	C57BL/6	heart	not available	not available	male	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_14_Left_Ventricle_Fraction_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_14_Left_Ventricle_Fraction_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
